WBGene00000001	aap-1	Y110A7A.10	ENSG00000145675;ENSG00000105647;ENSG00000117461;ENSG00000268173;ENSG00000278139	PIK3R1;PIK3R2;PIK3R3;;	Agammaglobulinemia 7, autosomal recessive, 615214|Immunodeficiency 36, 616005|SHORT syndrome, 269880;Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 1, 603387;;;
WBGene00011169		R09D1.13	ENSG00000060140	STYK1	
WBGene00011173	acs-18	R09E10.3	ENSG00000103740;ENSG00000130377	ACSBG1;ACSBG2	
WBGene00011175		R09E10.5	ENSG00000099994;ENSG00000145113	SUSD2;MUC4	
WBGene00011181		R09H10.3	ENSG00000118271	TTR	Amyloidosis, hereditary, transthyretin-related, 105210|Carpal tunnel syndrome, familial, 115430|Dystransthyretinemic hyperthyroxinemia, 145680
WBGene00011190	swt-6	R10D12.9	ENSG00000169241	SLC50A1	
WBGene00011193	algn-13	R10D12.12	ENSG00000101901;ENSG00000164164	ALG13;OTUD4	Congenital disorder of glycosylation, type Is, 300884|Epileptic encephalopathy, early infantile, 36, 300884;
WBGene00011194		R10D12.13	ENSG00000142039	CCDC97	
WBGene00011199			ENSG00000144642;ENSG00000153250	RBMS3;RBMS1	
WBGene00011201	nth-1	R10E4.5	ENSG00000065057	NTHL1	Familial adenomatous polyposis 3, 616415
WBGene00011205		R10E4.9	ENSG00000074696	HACD3	
WBGene00011216	usp-46	R10E11.3	ENSG00000109189;ENSG00000152484	USP46;USP12	
WBGene00011218		R10E11.6	ENSG00000275066;ENSG00000274047	SYNRG;SYNRG	
WBGene00011224		R10H10.6	ENSG00000135002	RFK	
WBGene00011226	slc-25A21	R11.1	ENSG00000183032	SLC25A21	
WBGene00011230	nud-2	R11A5.2	ENSG00000166579	NDEL1	
WBGene00011232	pck-2	R11A5.4	ENSG00000100889;ENSG00000124253	PCK2;PCK1	PEPCK deficiency, mitochondrial, 261650;Phosphoenolpyruvate carboxykinase deficiency, cytosolic, 261680
WBGene00011235	suro-1	R11A5.7	ENSG00000158516;ENSG00000091704;ENSG00000128510;ENSG00000153002;ENSG00000158525;ENSG00000165078;ENSG00000163751;ENSG00000080618;ENSG00000144410	CPA2;CPA1;CPA4;CPB1;CPA5;CPA6;CPA3;CPB2;CPO	Epilepsy, familial temporal lobe, 5, 614417|Febrile seizures, familial, 11, 614418;;;
WBGene00011237	gkow-1	R11A8.2	ENSG00000068394	GPKOW	
WBGene00011239	pges-2	R11A8.5	ENSG00000148334	PTGES2	
WBGene00011240		R11A8.7	ENSG00000131503;ENSG00000132466;ENSG00000254996	ANKHD1;ANKRD17;ANKHD1-EIF4EBP3	
WBGene00011242		R11D1.1	ENSG00000139990	DCAF5	
WBGene00011247	mrpl-49	R11D1.9	ENSG00000149792	MRPL49	
WBGene00011248		R11D1.10	ENSG00000166140	ZFYVE19	
WBGene00011249		R11G10.2	ENSG00000143416	SELENBP1	
WBGene00011250		R11H6.2	ENSG00000111897;ENSG00000132824;ENSG00000168528;ENSG00000164300;ENSG00000184716	SERINC1;SERINC3;SERINC2;SERINC5;SERINC4	
WBGene00011253		R11H6.5	ENSG00000143621	ILF2	
WBGene00011258	best-15	R13.3	ENSG00000039987;ENSG00000142959;ENSG00000167995;ENSG00000127325	BEST2;BEST4;BEST1;BEST3	Bestrophinopathy, autosomal recessive, 611809|Macular dystrophy, vitelliform, 2, 153700|Microcornea, rod-cone dystrophy, cataract, and posterior staphyloma, 193220|Retinitis pigmentosa, concentric, 613194|Retinitis pigmentosa-50, 613194|Vitreoretinochoroidopathy, 193220;
WBGene00011259	miz-1	R13.4	ENSG00000108175;ENSG00000122515	ZMIZ1;ZMIZ2	
WBGene00011261	nphp-4	R13H4.1	ENSG00000131697	NPHP4	Nephronophthisis 4, 606966|Senior-Loken syndrome 4, 606996
WBGene00011262	pho-8	R13H4.3	ENSG00000014257;ENSG00000162836	ACPP;ACP6	
WBGene00011266		R13H4.8	ENSG00000185940;ENSG00000196224;ENSG00000204571;ENSG00000204572;ENSG00000205864;ENSG00000205867;ENSG00000205869;ENSG00000241233;ENSG00000241598;ENSG00000244411	KRTAP5-5;KRTAP5-3;KRTAP5-11;KRTAP5-10;KRTAP5-6;KRTAP5-2;KRTAP5-1;KRTAP5-8;KRTAP5-4;KRTAP5-7	
WBGene00011268	pde-12	R17.2	ENSG00000174840;ENSG00000113300;ENSG00000138767	PDE12;CNOT6;CNOT6L	
WBGene00011269		R17.3	ENSG00000164764	SBSPON	
WBGene00011270		R31.2	ENSG00000154945	ANKRD40	
WBGene00011271	flad-1	R53.1	ENSG00000160688	FLAD1	Lipid storage myopathy due to flavin adenine dinucleotide synthetase deficiency, 255100
WBGene00011272	dtmk-1	R53.2	ENSG00000168393	DTYMK	
WBGene00011273		R53.4	ENSG00000241468	ATP5J2	
WBGene00011274		R53.5	ENSG00000122378;ENSG00000157870	FAM213A;FAM213B	
WBGene00011275	psf-1	R53.6	ENSG00000101003	GINS1	
WBGene00011276	aakg-5	R53.7	ENSG00000106617;ENSG00000115592;ENSG00000181929	PRKAG2;PRKAG3;PRKAG1	Cardiomyopathy, hypertrophic 6, 600858|Glycogen storage disease of heart, lethal congenital, 261740|Wolff-Parkinson-White syndrome, 194200;;
WBGene00011279	asd-1	R74.5	ENSG00000078328;ENSG00000100320;ENSG00000167281;ENSG00000277564	RBFOX1;RBFOX2;RBFOX3;RBFOX2	
WBGene00011280		R74.6	ENSG00000152684	PELO	
WBGene00011281		R74.7	ENSG00000068438;ENSG00000122687	FTSJ1;MRM2	Mental retardation, X-linked 9/44, 309549;
WBGene00011283		R90.1	ENSG00000128881;ENSG00000146216	TTBK2;TTBK1	Spinocerebellar ataxia 11, 604432;
WBGene00011291		R102.4	ENSG00000087495	PHACTR3	
WBGene00011298		R107.2	ENSG00000213995	NAXD	
WBGene00011299	ikke-1	R107.4	ENSG00000085511;ENSG00000104365;ENSG00000213341;ENSG00000263528	MAP3K4;IKBKB;CHUK;IKBKE	Immunodeficiency 15, 615592;Cocoon syndrome, 613630;
WBGene00011302		R166.2	ENSG00000104853;ENSG00000049656	CLPTM1;CLPTM1L	
WBGene00011303		R166.3	ENSG00000101935;ENSG00000144233	AMMECR1;AMMECR1L	Midface hypoplasia, hearing impairment, elliptocytosis, and nephrocalcinosis, 300990;
WBGene00011304	mnk-1	R166.5	ENSG00000099875;ENSG00000079277	MKNK2;MKNK1	
WBGene00011305		R186.1	ENSG00000183597	TANGO2	Metabolic encephalomyopathic crises, recurrent, with rhabdomyolysis, cardiac arrhythmias, and neurodegen
WBGene00011306		R186.3	ENSG00000144867	SRPRB	
WBGene00011307	mpst-7	R186.6	ENSG00000128311;ENSG00000128309	TST;MPST	
WBGene00011308		R186.7	ENSG00000100941	PNN	
WBGene00011311		T01B7.5	ENSG00000132467	UTP3	
WBGene00011313		T01B7.8	ENSG00000185940;ENSG00000196224;ENSG00000204571;ENSG00000204572;ENSG00000205864;ENSG00000205867;ENSG00000205869;ENSG00000241233;ENSG00000241598;ENSG00000244411	KRTAP5-5;KRTAP5-3;KRTAP5-11;KRTAP5-10;KRTAP5-6;KRTAP5-2;KRTAP5-1;KRTAP5-8;KRTAP5-4;KRTAP5-7	
WBGene00011315	mbr-1	T01C1.2	ENSG00000178177;ENSG00000196233	LCORL;LCOR	
WBGene00011318	cdt-2	T01C3.1	ENSG00000143476	DTL	
WBGene00011326		T01D3.1	ENSG00000146530;ENSG00000009694;ENSG00000145934;ENSG00000149256;ENSG00000218336;ENSG00000156076	VWDE;TENM1;TENM2;TENM4;TENM3;WIF1	Essential tremor, hereditary, 5, 616736;Microphthalmia, isolated, with coloboma 9, 615145;
WBGene00011327	hlh-34	T01D3.2	ENSG00000130751;ENSG00000112246;ENSG00000151322;ENSG00000159263;ENSG00000124440;ENSG00000100644;ENSG00000116016;ENSG00000170485	NPAS1;SIM1;NPAS3;SIM2;HIF3A;HIF1A;EPAS1;NPAS2	Obesity, severe, 601665;;;;;Erythrocytosis, familial, 4, 611783;
WBGene00011329		T01D3.5	ENSG00000029364	SLC39A9	
WBGene00011330		T01D3.6	ENSG00000281123;ENSG00000109927	FCGBP;TECTA	Deafness, autosomal dominant 8/12, 601543|Deafness, autosomal recessive 21, 603629
WBGene00011332			ENSG00000132004	FBXW9	
WBGene00011333	nrde-2	T01E8.5	ENSG00000119720	NRDE2	
WBGene00011334	mrps-14	T01E8.6	ENSG00000120333	MRPS14	
WBGene00011338	sec-31	T01G1.3	ENSG00000138674;ENSG00000075826	SEC31A;SEC31B	
WBGene00011339		T01G5.1	ENSG00000060140	STYK1	
WBGene00011340	ugt-30	T01G5.2	ENSG00000109181;ENSG00000135220;ENSG00000135226;ENSG00000145626;ENSG00000156096;ENSG00000168671;ENSG00000171234;ENSG00000173610;ENSG00000174607;ENSG00000196620;ENSG00000197888;ENSG00000213759	UGT2B10;UGT2A3;UGT2B28;UGT3A1;UGT2B4;UGT3A2;UGT2B7;UGT2A1;UGT8;UGT2B15;UGT2B17;UGT2B11	Bone mineral density QTL 12, osteoporosis, 612560;
WBGene00011344		T01G9.2	ENSG00000125149	C16orf70	
WBGene00011345	dma-1	T01G9.3	ENSG00000099769;ENSG00000171236	IGFALS;LRG1	Acid-labile subunit, deficiency of, 615961;
WBGene00011348		T01H3.2	ENSG00000205356	TECPR1	
WBGene00011352	rskn-1	T01H8.1	ENSG00000071242;ENSG00000072133;ENSG00000117676;ENSG00000177189;ENSG00000281877	RPS6KA2;RPS6KA6;RPS6KA1;RPS6KA3;RPS6KA1	Coffin-Lowry syndrome, 303600|Mental retardation, X-linked 19, 300844;
WBGene00011353		T01H8.2	ENSG00000167720	SRR	
WBGene00011354	lgc-13	T01H10.1	ENSG00000149305;ENSG00000166736;ENSG00000178084;ENSG00000186038;ENSG00000186090;ENSG00000186919	HTR3B;HTR3A;HTR3C;HTR3E;HTR3D;ZACN	
WBGene00011355	lgc-14	T01H10.2	ENSG00000149305;ENSG00000166736;ENSG00000178084;ENSG00000186038;ENSG00000186090;ENSG00000186919	HTR3B;HTR3A;HTR3C;HTR3E;HTR3D;ZACN	
WBGene00011356	lgc-15	T01H10.3	ENSG00000149305;ENSG00000166736;ENSG00000178084;ENSG00000186038;ENSG00000186090;ENSG00000186919	HTR3B;HTR3A;HTR3C;HTR3E;HTR3D;ZACN	
WBGene00011358	lgc-16	T01H10.5	ENSG00000149305;ENSG00000166736;ENSG00000178084;ENSG00000186038;ENSG00000186090;ENSG00000186919	HTR3B;HTR3A;HTR3C;HTR3E;HTR3D;ZACN	
WBGene00011359	lgc-17	T01H10.6	ENSG00000149305;ENSG00000166736;ENSG00000178084;ENSG00000186038;ENSG00000186090;ENSG00000186919	HTR3B;HTR3A;HTR3C;HTR3E;HTR3D;ZACN	
WBGene00011360	lgc-18	T01H10.7	ENSG00000149305;ENSG00000166736;ENSG00000178084;ENSG00000186038;ENSG00000186090;ENSG00000186919	HTR3B;HTR3A;HTR3C;HTR3E;HTR3D;ZACN	
WBGene00011361	lyst-1	T01H10.8	ENSG00000143669	LYST	Chediak-Higashi syndrome, 214500
WBGene00011362		T02B5.1	ENSG00000042832	TG	Autoimmune thyroid disease, susceptibility to, 3, 608175|Thyroid dyshormonogenesis 3, 274700
WBGene00011364		T02B5.3	ENSG00000042832	TG	Autoimmune thyroid disease, susceptibility to, 3, 608175|Thyroid dyshormonogenesis 3, 274700
WBGene00011367	snpc-3.4	T02C12.2	ENSG00000164975	SNAPC3	
WBGene00011368	tftc-5	T02C12.3	ENSG00000148308	GTF3C5	
WBGene00011372	npr-26	T02D1.6	ENSG00000128285;ENSG00000152034	MCHR1;MCHR2	
WBGene00011381	npr-25	T02E9.1	ENSG00000128285;ENSG00000152034	MCHR1;MCHR2	
WBGene00011382	dop-5	T02E9.3	ENSG00000196639	HRH1	
WBGene00011391	mrps-12	T03D8.2	ENSG00000128626;ENSG00000283018	MRPS12;MRPS12	
WBGene00011392	sbt-1	T03D8.3	ENSG00000166922;ENSG00000277614;ENSG00000281931	SCG5;SCG5;SCG5	
WBGene00011393		T03D8.6	ENSG00000100031;ENSG00000133475;ENSG00000100121;ENSG00000149435;ENSG00000274252;ENSG00000099998;ENSG00000131067	GGT1;GGT2;GGTLC2;GGTLC1;GGTLC3;GGT5;GGT7	Gamma-glutamyltransferase, familial high serum|Glutathioninuria, 231950;;;;;;
WBGene00011398	qdpr-1	T03F6.1	ENSG00000151552	QDPR	Hyperphenylalaninemia, BH4-deficient, C, 261630
WBGene00011399		T03F6.3	ENSG00000163281;ENSG00000113552	GNPDA2;GNPDA1	
WBGene00011401		T03F6.6	ENSG00000129625;ENSG00000115255	REEP5;REEP6	Retinitis pigmentosa 77, 617304
WBGene00011407	ppat-1	T04A8.5	ENSG00000128059	PPAT	
WBGene00011408		T04A8.6	ENSG00000155438	NIFK	
WBGene00011409		T04A8.7	ENSG00000114480	GBE1	Glycogen storage disease IV, 232500|Polyglucosan body disease, adult form, 263570
WBGene00011411	sel-13	T04A8.10	ENSG00000198783	ZNF830	
WBGene00011412	mrpl-16	T04A8.11	ENSG00000166902	MRPL16	
WBGene00011414		T04A8.13	ENSG00000179083;ENSG00000234545	FAM133A;FAM133B	
WBGene00011416		T04A11.1	ENSG00000108187	PBLD	
WBGene00011417		T04A11.2	ENSG00000108187	PBLD	
WBGene00011419		T04A11.4	ENSG00000108187	PBLD	
WBGene00011420		T04A11.5	ENSG00000108187	PBLD	
WBGene00011423	ipla-7	T04B2.5	ENSG00000184381	PLA2G6	Infantile neuroaxonal dystrophy 1, 256600|Neurodegeneration with brain iron accumulation 2B, 610217|Parkinson disease 14, autosomal recessive, 612953
WBGene00011424	dhs-31	T04B2.6	ENSG00000159228;ENSG00000159231	CBR1;CBR3	
WBGene00011433	pde-1	T04D3.3	ENSG00000123360;ENSG00000154678;ENSG00000115252	PDE1B;PDE1C;PDE1A	
WBGene00011436		T04F3.1	ENSG00000110455;ENSG00000205126	ACCS;ACCSL	
WBGene00011437		T04F3.2	ENSG00000198732;ENSG00000112562	SMOC1;SMOC2	Microphthalmia with limb anomalies, 206920;Dentin dysplasia, type I, with microdontia and misshapen teeth, 125400
WBGene00011439		T04F3.4	ENSG00000180398	MCFD2	Factor V and factor VIII, combined deficiency of, 613625
WBGene00011440	sfxn-1.5	T04F8.1	ENSG00000164466;ENSG00000107819;ENSG00000144040;ENSG00000156398	SFXN1;SFXN3;SFXN5;SFXN2	
WBGene00011441		T04F8.2	ENSG00000167619;ENSG00000152749	TMEM145;GPR180	
WBGene00011444		T04F8.6	ENSG00000100503;ENSG00000101004;ENSG00000130307;ENSG00000171444	NIN;NINL;USHBP1;MCC	Seckel syndrome 7, 614851;;;Colorectal cancer, somatic, 114500
WBGene00011449		T04H1.2	ENSG00000172432;ENSG00000100226	GTPBP2;GTPBP1	
WBGene00011451		T04H1.5	ENSG00000152133	GPATCH11	
WBGene00011454	lron-14	T05A1.3	ENSG00000100399;ENSG00000168140	CHADL;VASN	
WBGene00011456		T05A1.5	ENSG00000149742;ENSG00000168065;ENSG00000184999;ENSG00000196600;ENSG00000197658;ENSG00000197891	SLC22A9;SLC22A11;SLC22A10;SLC22A25;SLC22A24;SLC22A12	Hypouricemia, renal, 220150
WBGene00011462	vap-2	T05A10.5	ENSG00000124490;ENSG00000096006;ENSG00000101074;ENSG00000103196;ENSG00000121005;ENSG00000137558;ENSG00000139278;ENSG00000164530;ENSG00000173401;ENSG00000124812;ENSG00000140839;ENSG00000157322;ENSG00000157335;ENSG00000180481	CRISP2;CRISP3;R3HDML;CRISPLD2;CRISPLD1;PI15;GLIPR1;PI16;GLIPR1L1;CRISP1;CLEC18B;CLEC18A;CLEC18C;GLIPR1L2	
WBGene00011467	decr-1.3	T05C12.3	ENSG00000104325;ENSG00000242612	DECR1;DECR2	
WBGene00011469	dylt-3	T05C12.5	ENSG00000146425;ENSG00000165169	DYNLT1;DYNLT3	
WBGene00011474	aldo-1	T05D4.1	ENSG00000109107;ENSG00000136872;ENSG00000149925	ALDOC;ALDOB;ALDOA	Fructose intolerance, hereditary, 229600;Glycogen storage disease XII, 611881
WBGene00011480	enpl-1	T05E11.3	ENSG00000166598;ENSG00000080824;ENSG00000096384;ENSG00000183199	HSP90B1;HSP90AA1;HSP90AB1;	
WBGene00011481	imp-2	T05E11.5	ENSG00000101294	HM13	
WBGene00011482	hpo-4	T05E11.6	ENSG00000142892	PIGK	
WBGene00011486		T05E12.3	ENSG00000243335;ENSG00000151364;ENSG00000168301	KCTD7;KCTD14;KCTD6	Epilepsy, progressive myoclonic 3, with or without intracellular inclusions, 611726;;
WBGene00011488	nra-2	T05F1.1	ENSG00000125912	NCLN	
WBGene00011493		T05F1.8	ENSG00000075415	SLC25A3	Mitochondrial phosphate carrier deficiency, 610773
WBGene00011495		T05F1.11	ENSG00000130045;ENSG00000167693;ENSG00000171773	NXNL2;NXN;NXNL1	
WBGene00011500		T05G5.5	ENSG00000172992	DCAKD	
WBGene00011501	rmd-1	T05G5.7	ENSG00000115841;ENSG00000137824	RMDN2;RMDN3	
WBGene00011502	vps-53	T05G5.8	ENSG00000141252	VPS53	Pontocerebellar hypoplasia, type 2E, 615851
WBGene00011503	gcc-2	T05G5.9	ENSG00000135968	GCC2	
WBGene00011507		T05H10.1	ENSG00000170242	USP47	
WBGene00011510	pdha-1	T05H10.6	ENSG00000131828;ENSG00000163114	PDHA1;PDHA2	Pyruvate dehydrogenase E1-alpha deficiency, 312170;
WBGene00011511	gpcp-2	T05H10.7	ENSG00000125772	GPCPD1	
WBGene00011517	cgt-1	T06C12.10	ENSG00000148154	UGCG	
WBGene00011522	srap-1	T06D8.1	ENSG00000145113;ENSG00000181143;ENSG00000205277;ENSG00000110799;ENSG00000117983;ENSG00000165899;ENSG00000169876;ENSG00000184956;ENSG00000188162;ENSG00000197558;ENSG00000198788;ENSG00000205592	MUC4;MUC16;MUC12;VWF;MUC5B;OTOGL;MUC17;MUC6;OTOG;SSPO;;	von Willebrand disease, type 1, 193400|von Willebrand disease, types 2A, 2B, 2M, and 2N, 613554|von Willibrand disease, type 3, 277480;Pulmonary fibrosis, idiopathic, susceptibility to, 178500;Deafness, autosomal recessive 84B, 614944;;;Deafness, autosomal recessive 18B, 614945;;;
WBGene00011523		T06D8.2	ENSG00000116198	CEP104	Joubert syndrome 25, 616781
WBGene00011524		T06D8.3	ENSG00000117598;ENSG00000105520;ENSG00000117600;ENSG00000148123;ENSG00000276539;ENSG00000129951	PLPPR5;PLPPR2;PLPPR4;PLPPR1;PLPPR1;PLPPR3	
WBGene00011526	cox-15	T06D8.5	ENSG00000014919	COX15	Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 2, 615119|Leigh syndrome due to cytochrome c oxidase deficiency, 256000
WBGene00011527	cchl-1	T06D8.6	ENSG00000004961	HCCS	Linear skin defects with multiple congenital anomalies 1, 309801
WBGene00011528		T06D8.7	ENSG00000069509;ENSG00000165775	FUNDC1;FUNDC2	
WBGene00011529		T06D8.9	ENSG00000133872	SARAF	
WBGene00011532	chaf-1	T06D10.2	ENSG00000167670;ENSG00000164985	CHAF1A;PSIP1	
WBGene00011538		T06E6.1	ENSG00000133316	WDR74	
WBGene00011543	acl-2	T06E8.1	ENSG00000169692;ENSG00000204310;ENSG00000206324;ENSG00000226467;ENSG00000227642;ENSG00000228892;ENSG00000235758;ENSG00000236873	AGPAT2;AGPAT1;AGPAT1;AGPAT1;AGPAT1;AGPAT1;AGPAT1;AGPAT1	Lipodystrophy, congenital generalized, type 1, 608594;;;;;;;
WBGene00011554		T07A5.1	ENSG00000106692	FKTN	Cardiomyopathy, dilated, 1X, 611615|Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 4, 253800|Muscular dystrophy-dystroglycanopathy (congenital without mental retardation), type B, 4, 613152|Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 4, 611588
WBGene00011556	vglu-3	T07A5.3	ENSG00000091664;ENSG00000104888;ENSG00000179520;ENSG00000119899	SLC17A6;SLC17A7;SLC17A8;SLC17A5	Deafness, autosomal dominant 25, 605583;Salla disease, 604369|Sialic acid storage disorder, infantile, 269920
WBGene00011558		T07A5.5	ENSG00000228474	OST4	
WBGene00011559	umps-1	T07C4.1	ENSG00000114491	UMPS	Orotic aciduria, 258900
WBGene00011563	jmjd-4	T07C4.11	ENSG00000081692	JMJD4	
WBGene00011564	ugt-50	T07C5.1	ENSG00000156096;ENSG00000167165;ENSG00000171234;ENSG00000174607;ENSG00000213759;ENSG00000240224;ENSG00000241119;ENSG00000242366;ENSG00000242515;ENSG00000243135;ENSG00000244122;ENSG00000244474;ENSG00000271271;ENSG00000278216	UGT2B4;UGT1A6;UGT2B7;UGT8;UGT2B11;UGT1A5;UGT1A9;UGT1A8;UGT1A10;UGT1A3;UGT1A7;UGT1A4;UGT2A2;UGT2A3	
WBGene00011573	anmt-3	T07C12.9	ENSG00000166741;ENSG00000241644;ENSG00000141744;ENSG00000254959	NNMT;INMT;PNMT;INMT-MINDY4	Homocysteine plasma level;;;
WBGene00011576	rmh-2	T07C12.12	ENSG00000178966	RMI1	
WBGene00011578	npr-20	T07D4.1	ENSG00000119973;ENSG00000123901	PRLHR;GPR83	
WBGene00011579		T07D4.2	ENSG00000186732;ENSG00000066382	MPPED1;MPPED2	
WBGene00011580	ddx-19	T07D4.4	ENSG00000168872;ENSG00000109832;ENSG00000157349;ENSG00000260537	DDX19A;DDX25;DDX19B;	
WBGene00011582	ntr-1	T07D10.2	ENSG00000166148;ENSG00000126895;ENSG00000180914;ENSG00000198049;ENSG00000187258	AVPR1A;AVPR2;OXTR;AVPR1B;NPSR1	Diabetes insipidus, nephrogenic, 304800|Nephrogenic syndrome of inappropriate antidiuresis, 300539;;;Asthma, susceptibility to, 2, 608584
WBGene00011584	clec-15	T07D10.4	ENSG00000163815;ENSG00000166509	CLEC3B;CLEC3A	
WBGene00011587		T07F10.1	ENSG00000166825;ENSG00000072657;ENSG00000138792;ENSG00000172901;ENSG00000113441;ENSG00000164307;ENSG00000164308	ANPEP;TRHDE;ENPEP;LVRN;LNPEP;ERAP1;ERAP2	
WBGene00011589		T07F10.3	ENSG00000180098;ENSG00000137434	TRNAU1AP;C6orf52	
WBGene00011590	bus-19	T07F10.4	ENSG00000163900;ENSG00000166471	TMEM41A;TMEM41B	
WBGene00011593		T07G12.2	ENSG00000089057;ENSG00000170482;ENSG00000213901	SLC23A2;SLC23A1;SLC23A3	
WBGene00011595		T07G12.4	ENSG00000213901	SLC23A3	
WBGene00011596		T07G12.5	ENSG00000089057;ENSG00000170482;ENSG00000213901	SLC23A2;SLC23A1;SLC23A3	
WBGene00011604		T08A11.1	ENSG00000100150	DEPDC5	Epilepsy, familial focal, with variable foci 1, 604364
WBGene00011605	sftb-1	T08A11.2	ENSG00000115524	SF3B1	Myelodysplastic syndrome, somatic, 614286
WBGene00011606		T08D2.1	ENSG00000158604;ENSG00000184840	TMED4;TMED9	
WBGene00011611		T08D2.6	ENSG00000119820	YIPF4	
WBGene00011612		T08D2.7	ENSG00000183765	CHEK2	Breast and colorectal cancer, susceptibility to|Breast cancer, susceptibility to, 114480|Li-Fraumeni syndrome, 609265|Osteosarcoma, somatic, 259500|Prostate cancer, familial, susceptibility to, 176807
WBGene00011613		T08D2.8	ENSG00000175216	CKAP5	
WBGene00011614	nfya-1	T08D10.1	ENSG00000001167	NFYA	
WBGene00011615	lsd-1	T08D10.2	ENSG00000004487	KDM1A	Cleft palate, psychomotor retardation, and distinctive facial features, 616728
WBGene00011621		T08G3.13	ENSG00000198553	KCNRG	
WBGene00011625	vps-39	T08G5.5	ENSG00000166887	VPS39	
WBGene00011629		T08G11.1	ENSG00000197969;ENSG00000129003	VPS13A;VPS13C	Choreoacanthocytosis, 200150;Parkinson disease 23, autosomal recessive, early onset, 616840
WBGene00011630		T08G11.3	ENSG00000155875;ENSG00000188659	SAXO1;SAXO2	
WBGene00011631		T08G11.4	ENSG00000137574	TGS1	
WBGene00011635		T09A5.7	ENSG00000170855	TRIAP1	
WBGene00011636	cec-3	T09A5.8	ENSG00000196199	MPHOSPH8	
WBGene00011637	sds-22	T09A5.9	ENSG00000115685	PPP1R7	
WBGene00011638	ostb-1	T09A5.11	ENSG00000244038	DDOST	Congenital disorder of glycosylation, type Ir, 614507
WBGene00011642		T09B9.1	ENSG00000188984;ENSG00000144959;ENSG00000204518;ENSG00000114771;ENSG00000197953;ENSG00000261846	AADACL3;NCEH1;AADACL4;AADAC;AADACL2;AADACL2	
WBGene00011644		T09B9.3	ENSG00000006007	GDE1	
WBGene00011645		T09B9.4	ENSG00000108091	CCDC6	
WBGene00011648	cni-1	T09E8.3	ENSG00000100528;ENSG00000143786;ENSG00000174871;ENSG00000143771	CNIH1;CNIH3;CNIH2;CNIH4	
WBGene00011650	glct-1	T09E11.1	ENSG00000109956;ENSG00000112309;ENSG00000149541	B3GAT1;B3GAT2;B3GAT3	Multiple joint dislocations, short stature, craniofacial dysmorphism, with or without congenital heart d
WBGene00011655		T09E11.6	ENSG00000111846;ENSG00000124091;ENSG00000140297;ENSG00000176928;ENSG00000187210	GCNT2;GCNT7;GCNT3;GCNT4;GCNT1	Adult i phenotype without cataract, 110800|Blood group, Ii, 110800|Cataract 13 with adult i phenotype, 116700;;;;
WBGene00011658		T09E11.9	ENSG00000111846;ENSG00000124091;ENSG00000140297;ENSG00000176928;ENSG00000187210	GCNT2;GCNT7;GCNT3;GCNT4;GCNT1	Adult i phenotype without cataract, 110800|Blood group, Ii, 110800|Cataract 13 with adult i phenotype, 116700;;;;
WBGene00011659		T09E11.10	ENSG00000162630;ENSG00000169255;ENSG00000172318;ENSG00000183778;ENSG00000235863	B3GALT2;B3GALNT1;B3GALT1;B3GALT5;B3GALT4	Blood group, globoside system, 615021|Blood group, P1PK system, P(k) phenotype, 111400;;;
WBGene00011662		T09F3.2	ENSG00000114120;ENSG00000171612	SLC25A36;SLC25A33	
WBGene00011665		T09F5.1	ENSG00000162630;ENSG00000169255;ENSG00000172318;ENSG00000183778;ENSG00000235863	B3GALT2;B3GALNT1;B3GALT1;B3GALT5;B3GALT4	Blood group, globoside system, 615021|Blood group, P1PK system, P(k) phenotype, 111400;;;
WBGene00011671	cyp-13A4	T10B9.1	ENSG00000021461;ENSG00000106258;ENSG00000160868;ENSG00000160870;ENSG00000059377;ENSG00000282301;ENSG00000145476;ENSG00000142973;ENSG00000162365;ENSG00000171903;ENSG00000171954;ENSG00000186115;ENSG00000186160;ENSG00000186204;ENSG00000186377;ENSG00000186526;ENSG00000186529;ENSG00000187048	CYP3A43;CYP3A5;CYP3A4;CYP3A7;TBXAS1;CYP3A7-CYP3A51P;CYP4V2;CYP4B1;CYP4A22;CYP4F11;CYP4F22;CYP4F2;CYP4Z1;CYP4F12;CYP4X1;CYP4F8;CYP4F3;CYP4A11	Hypertension, salt-sensitive essential, susceptibility to, 145500;;;Ghosal hematodiaphyseal syndrome, 231095|Thromboxane synthase deficiency, 614158;;Bietti crystalline corneoretinal dystrophy, 210370;;;;Ichthyosis, congenital, autosomal recessive 5, 604777;;;;;;;
